Instruction,Input,Output,text
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,DrillingCostManagement,Detailed cost management records for drilling operations including budget vs. actual expenses.,BudgetedCost,BC,NUMBER,NULLABLE",Budgeted cost for the drilling operation,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,DrillingCostManagement,Detailed cost management records for drilling operations including budget vs. actual expenses.,BudgetedCost,BC,NUMBER,NULLABLE
### Response:
Budgeted cost for the drilling operation"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,BoreholeStabilityStudies,Studies on borehole stability for various wells including pressure and stress analysis.,Stress Analysis,SA,TEXT,NULLABLE",Analysis of the stress conditions in the borehole.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,BoreholeStabilityStudies,Studies on borehole stability for various wells including pressure and stress analysis.,Stress Analysis,SA,TEXT,NULLABLE
### Response:
Analysis of the stress conditions in the borehole."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,TechnologyUpgradePlans,Plans for technology upgrades within the refinery to improve efficiency and output.,PlanStartDate,PSD,DATETIME,NOT NULLABLE",Start date of the technology upgrade plan.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,TechnologyUpgradePlans,Plans for technology upgrades within the refinery to improve efficiency and output.,PlanStartDate,PSD,DATETIME,NOT NULLABLE
### Response:
Start date of the technology upgrade plan."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Wellbore Type,WT,TEXT,NULLABLE",Indicates the type of wellbore,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,WellBoreTrajectoryData,Data on the trajectory of wellbores including deviations and directional drilling details.,Wellbore Type,WT,TEXT,NULLABLE
### Response:
Indicates the type of wellbore"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Environmental Impact Monitoring System,EIMS,EcoEfficiencyImprovementPrograms,Programs and initiatives aimed at improving eco-efficiency across operations.,Source System Name,SSN,TEXT,NOT NULLABLE",Name of the source system,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Environmental Impact Monitoring System,EIMS,EcoEfficiencyImprovementPrograms,Programs and initiatives aimed at improving eco-efficiency across operations.,Source System Name,SSN,TEXT,NOT NULLABLE
### Response:
Name of the source system"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,DrillingTechnologyInnovations,Records of new technologies applied in drilling operations and their impact.,Category,Category,TEXT,NULLABLE",Category or type of the technology (e.g. drilling fluid,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,DrillingTechnologyInnovations,Records of new technologies applied in drilling operations and their impact.,Category,Category,TEXT,NULLABLE
### Response:
Category or type of the technology (e.g. drilling fluid"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,ComplianceAuditSchedule,Schedule of upcoming compliance audits related to safety including scope and teams involved.,AuditStatus,AST,TEXT,NOT NULLABLE",Status of the compliance audit (e.g.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,ComplianceAuditSchedule,Schedule of upcoming compliance audits related to safety including scope and teams involved.,AuditStatus,AST,TEXT,NOT NULLABLE
### Response:
Status of the compliance audit (e.g."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,EnvironmentalImpactStudies_CSRT,Studies conducted on the environmental impact of company operations.,Data Collection Duration,DATA_COLLECTION_DURATION,NUMBER,NULLABLE",Duration of data collection in days,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,EnvironmentalImpactStudies_CSRT,Studies conducted on the environmental impact of company operations.,Data Collection Duration,DATA_COLLECTION_DURATION,NUMBER,NULLABLE
### Response:
Duration of data collection in days"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Investment and Asset Management System,IAMS,InvestmentOpportunityPipeline,Data on potential investment opportunities and their evaluation status, guiding strategic investment decisions.,OpportunityName,OpName,TEXT,NOT NULLABLE",Name or title of the investment opportunity,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Investment and Asset Management System,IAMS,InvestmentOpportunityPipeline,Data on potential investment opportunities and their evaluation status, guiding strategic investment decisions.,OpportunityName,OpName,TEXT,NOT NULLABLE
### Response:
Name or title of the investment opportunity"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Market Analysis Portal,MAP,MarketTrendsReports,Analysis reports on market trends including demand forecasts and competitor analysis.,Market Entry Barriers,MEB,TEXT,NULLABLE",Barriers to entry in the market segment,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Market Analysis Portal,MAP,MarketTrendsReports,Analysis reports on market trends including demand forecasts and competitor analysis.,Market Entry Barriers,MEB,TEXT,NULLABLE
### Response:
Barriers to entry in the market segment"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Investment and Asset Management System,IAMS,InvestmentReturnAnalysis,Analysis of returns on the company's investments to guide future investment strategies and evaluate performance.,InvestmentCurrency,InvCurrency,TEXT,NULLABLE",Currency in which the investment is measured,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Investment and Asset Management System,IAMS,InvestmentReturnAnalysis,Analysis of returns on the company's investments to guide future investment strategies and evaluate performance.,InvestmentCurrency,InvCurrency,TEXT,NULLABLE
### Response:
Currency in which the investment is measured"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Product Quality Assurance System,PQAS,BatchQualityRecords,Quality records for each production batch including any deviations or non-conformances.,BatchID,BID,NUMBER,NOT NULLABLE",Unique identifier for each production batch,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Product Quality Assurance System,PQAS,BatchQualityRecords,Quality records for each production batch including any deviations or non-conformances.,BatchID,BID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each production batch"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,FirstAidIncidentLog,Log of first aid incidents providing insights into common injuries and preventive measures.,Location, Loc,TEXT,NOT NULLABLE", Location where the incident occurred.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,FirstAidIncidentLog,Log of first aid incidents providing insights into common injuries and preventive measures.,Location, Loc,TEXT,NOT NULLABLE
### Response:
 Location where the incident occurred."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Regulatory Compliance Archive,RCA,RegulatoryExaminationPrepDocs,Documents prepared for upcoming regulatory examinations.,DocTitle,DT,TEXT,NOT NULLABLE",Title of the document,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Regulatory Compliance Archive,RCA,RegulatoryExaminationPrepDocs,Documents prepared for upcoming regulatory examinations.,DocTitle,DT,TEXT,NOT NULLABLE
### Response:
Title of the document"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,DrillingTechnologyInnovations,Records of new technologies applied in drilling operations and their impact.,Best Practices,BestPractices,TEXT,NULLABLE",Best practices identified for the implementation of the technology,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,DrillingTechnologyInnovations,Records of new technologies applied in drilling operations and their impact.,Best Practices,BestPractices,TEXT,NULLABLE
### Response:
Best practices identified for the implementation of the technology"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,CrewPerformanceEvaluations,Evaluations of crew performance on drilling rigs including safety and efficiency.,Safety Rating,SAFETY_RATING,NUMBER,NULLABLE",Rating for the safety practices of the crew,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,CrewPerformanceEvaluations,Evaluations of crew performance on drilling rigs including safety and efficiency.,Safety Rating,SAFETY_RATING,NUMBER,NULLABLE
### Response:
Rating for the safety practices of the crew"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,EnvironmentalMonitoringReports_Drilling,Environmental monitoring reports specific to drilling sites including water and air quality.,Water pH,PH,NUMBER,NULLABLE",The pH level of the water at the drilling site.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,EnvironmentalMonitoringReports_Drilling,Environmental monitoring reports specific to drilling sites including water and air quality.,Water pH,PH,NUMBER,NULLABLE
### Response:
The pH level of the water at the drilling site."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,HazardIdentificationRecords,Records of identified hazards in operations including risk assessments and control measures.,Closed By,CBY,TEXT,NULLABLE",Name of the user who closed the hazard record.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,HazardIdentificationRecords,Records of identified hazards in operations including risk assessments and control measures.,Closed By,CBY,TEXT,NULLABLE
### Response:
Name of the user who closed the hazard record."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Production Optimization System,POS,ProductionForecastingModels,Predictive models for production forecasting incorporating historical data and predictive analytics.,Model Test Data,MTestData,TEXT,NULLABLE",Test data used for the production forecasting model,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Production Optimization System,POS,ProductionForecastingModels,Predictive models for production forecasting incorporating historical data and predictive analytics.,Model Test Data,MTestData,TEXT,NULLABLE
### Response:
Test data used for the production forecasting model"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,WellCompletionRecords,Records of well completion processes including perforation and stimulation methods.,WellCompletionRecordID,WCID,NUMBER,NOT NULLABLE",Unique identifier for each well completion record,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,WellCompletionRecords,Records of well completion processes including perforation and stimulation methods.,WellCompletionRecordID,WCID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each well completion record"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Production Optimization System,POS,ProductionEfficiencyMetrics_2024,Metrics and analytics for assessing production efficiency across all operational sites for the year 2024.,Idle Time,IT,NUMBER,NULLABLE",Total idle time in hours for the given site and date,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Production Optimization System,POS,ProductionEfficiencyMetrics_2024,Metrics and analytics for assessing production efficiency across all operational sites for the year 2024.,Idle Time,IT,NUMBER,NULLABLE
### Response:
Total idle time in hours for the given site and date"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Environmental Impact Monitoring System,EIMS,EcoEfficiencyImprovementPrograms,Programs and initiatives aimed at improving eco-efficiency across operations.,Program Reporting,PR,TEXT,NULLABLE",Reporting requirements for the eco-efficiency program,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Environmental Impact Monitoring System,EIMS,EcoEfficiencyImprovementPrograms,Programs and initiatives aimed at improving eco-efficiency across operations.,Program Reporting,PR,TEXT,NULLABLE
### Response:
Reporting requirements for the eco-efficiency program"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Human Resources Information System,HRIS,SuccessionPlanningRecords,Data on succession planning for key roles within the organization.,Gender,Gen,TEXT,NOT NULLABLE",Gender of the employee,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Human Resources Information System,HRIS,SuccessionPlanningRecords,Data on succession planning for key roles within the organization.,Gender,Gen,TEXT,NOT NULLABLE
### Response:
Gender of the employee"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Logistics Optimization Software,LOS,DistributionNetworkAnalysis,Analysis of the distribution network, identifying bottlenecks and improvement opportunities.,Supplier,SP,TEXT,NOT NULLABLE",Name of the supplier for the distribution center,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Logistics Optimization Software,LOS,DistributionNetworkAnalysis,Analysis of the distribution network, identifying bottlenecks and improvement opportunities.,Supplier,SP,TEXT,NOT NULLABLE
### Response:
Name of the supplier for the distribution center"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,FirstAidIncidentLog,Log of first aid incidents providing insights into common injuries and preventive measures.,ActivityType, ActType,TEXT,NOT NULLABLE", Type of activity being performed during the incident.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,FirstAidIncidentLog,Log of first aid incidents providing insights into common injuries and preventive measures.,ActivityType, ActType,TEXT,NOT NULLABLE
### Response:
 Type of activity being performed during the incident."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Corporate Social Responsibility Tracker,CSRT,CommunityEngagementProjects,Records of community engagement projects and their impact assessments.,Location,Loc,TEXT,NULLABLE",Location where the community engagement project is taking place.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Corporate Social Responsibility Tracker,CSRT,CommunityEngagementProjects,Records of community engagement projects and their impact assessments.,Location,Loc,TEXT,NULLABLE
### Response:
Location where the community engagement project is taking place."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Financial Reporting System,FRS,InvestmentPortfolioSnapshot,Snapshot of the company's investment portfolio and its performance.,Portfolio Manager,POR_MANAGER,TEXT,NULLABLE",Name of the portfolio manager overseeing the investment.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Financial Reporting System,FRS,InvestmentPortfolioSnapshot,Snapshot of the company's investment portfolio and its performance.,Portfolio Manager,POR_MANAGER,TEXT,NULLABLE
### Response:
Name of the portfolio manager overseeing the investment."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Market Analysis Portal,MAP,SalesPerformanceDashboard,Interactive dashboard showing sales performance across different markets and products.,UNITS_SOLD,US,NUMBER,NOT NULLABLE",Number of units sold,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Market Analysis Portal,MAP,SalesPerformanceDashboard,Interactive dashboard showing sales performance across different markets and products.,UNITS_SOLD,US,NUMBER,NOT NULLABLE
### Response:
Number of units sold"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,RefineryProductionSchedules,Detailed schedules of refinery operations including planned outputs by product type.,Scheduled End Date,SED,DATETIME,NOT NULLABLE",The scheduled end date of the operation,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,RefineryProductionSchedules,Detailed schedules of refinery operations including planned outputs by product type.,Scheduled End Date,SED,DATETIME,NOT NULLABLE
### Response:
The scheduled end date of the operation"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyAuditFindings,Findings from safety audits including recommendations for improvements and compliance issues.,Responsibility,Responsibility,TEXT,NULLABLE",Department or individual responsible for implementing the recommended actions,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyAuditFindings,Findings from safety audits including recommendations for improvements and compliance issues.,Responsibility,Responsibility,TEXT,NULLABLE
### Response:
Department or individual responsible for implementing the recommended actions"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,IncidentReports_2024,Compilation of all safety incidents reported in 2024 including injuries and operational mishaps.,InvestigationStatus, IStatus,TEXT,NULLABLE", Status of the incident investigation.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,IncidentReports_2024,Compilation of all safety incidents reported in 2024 including injuries and operational mishaps.,InvestigationStatus, IStatus,TEXT,NULLABLE
### Response:
 Status of the incident investigation."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Investment and Asset Management System,IAMS,CapitalBudgetingModels,Models used for capital budgeting decisions, outlining justifications for investment choices and expected returns.,CompetitorAnalysis,CA,TEXT,NULLABLE",Evaluation of competing investment choices in the market,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Investment and Asset Management System,IAMS,CapitalBudgetingModels,Models used for capital budgeting decisions, outlining justifications for investment choices and expected returns.,CompetitorAnalysis,CA,TEXT,NULLABLE
### Response:
Evaluation of competing investment choices in the market"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Probability,RiskProbability,NUMBER,NOT NULLABLE",Probability of the risk occurring.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Drilling Operations Database,DOD,OperationalRiskAssessments_Drilling,Risk assessments for drilling operations focusing on operational and environmental risks.,Risk_Probability,RiskProbability,NUMBER,NOT NULLABLE
### Response:
Probability of the risk occurring."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Renewable Energy Project Database,REPD,SustainabilityImpactReports_REPD,Reports on the sustainability impact of renewable energy projects.,Recyclability, Recyc,TEXT,NULLABLE", Indicates if the project is recyclable,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Renewable Energy Project Database,REPD,SustainabilityImpactReports_REPD,Reports on the sustainability impact of renewable energy projects.,Recyclability, Recyc,TEXT,NULLABLE
### Response:
 Indicates if the project is recyclable"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Source System Acronym,SSA,TEXT,NOT NULLABLE",The acronym of the source system providing the data,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Source System Acronym,SSA,TEXT,NOT NULLABLE
### Response:
The acronym of the source system providing the data"
